MEMBER_NO,labels
57593,一般客户
60350,一般客户
26362,一般客户
33032,一般客户
18815,重要发展客户
39180,重要挽留客户
6470,重要发展客户
12092,重要挽留客户
41969,低价值客户
10244,一般客户
19,一般客户
15960,低价值客户
43573,低价值客户
45113,低价值客户
24794,一般客户
35150,重要发展客户
55104,重要挽留客户
24298,低价值客户
57601,重要保持客户
32580,低价值客户
61497,低价值客户
35088,低价值客户
17920,重要挽留客户
43987,重要保持客户
48533,重要挽留客户
52996,重要发展客户
48681,低价值客户
62900,重要挽留客户
21955,重要保持客户
35875,重要挽留客户
25955,重要发展客户
41631,低价值客户
38661,重要发展客户
35709,重要挽留客户
31265,低价值客户
55734,低价值客户
42432,低价值客户
18557,低价值客户
14965,低价值客户
54074,一般客户
1228,一般客户
45340,低价值客户
38104,重要挽留客户
6776,一般客户
31811,重要保持客户
30762,重要保持客户
30425,低价值客户
41846,重要保持客户
19266,重要挽留客户
41985,一般客户
12595,重要发展客户
28966,低价值客户
16005,一般客户
40655,低价值客户
36696,重要挽留客户
13959,低价值客户
8924,重要挽留客户
34252,一般客户
50857,低价值客户
4318,一般客户
43885,重要发展客户
21851,重要挽留客户
20365,重要挽留客户
9206,重要发展客户
13549,一般客户
42922,低价值客户
9071,一般客户
39707,重要挽留客户
12175,重要挽留客户
23210,低价值客户
55433,重要挽留客户
23173,一般客户
1503,低价值客户
37273,重要保持客户
19407,重要发展客户
29528,一般客户
33906,低价值客户
61302,低价值客户
17895,重要挽留客户
871,一般客户
2649,重要挽留客户
41450,低价值客户
53439,低价值客户
47900,重要挽留客户
14317,重要保持客户
15859,低价值客户
22382,低价值客户
9528,重要挽留客户
9609,重要保持客户
54226,低价值客户
48417,重要挽留客户
217,低价值客户
47234,重要保持客户
14191,重要保持客户
23267,低价值客户
16989,低价值客户
12573,重要挽留客户
52826,一般客户
47370,重要保持客户
1188,重要发展客户
32159,低价值客户
33437,低价值客户
8037,一般客户
16483,重要发展客户
59514,低价值客户
2302,重要挽留客户
60114,重要发展客户
14580,低价值客户
10515,低价值客户
48161,重要挽留客户
31550,低价值客户
36575,重要挽留客户
55731,低价值客户
35293,低价值客户
4654,重要保持客户
20035,低价值客户
59295,重要保持客户
32893,低价值客户
62384,重要保持客户
429,低价值客户
36749,重要挽留客户
19511,一般客户
59630,低价值客户
46073,重要挽留客户
14158,低价值客户
50744,重要保持客户
54045,重要挽留客户
35897,重要挽留客户
8447,重要发展客户
27608,重要保持客户
19672,一般客户
29160,重要挽留客户
42710,低价值客户
30064,一般客户
18543,低价值客户
48237,重要挽留客户
55540,低价值客户
5293,一般客户
45231,低价值客户
14284,重要发展客户
61563,低价值客户
259,低价值客户
51481,重要发展客户
17193,一般客户
43053,低价值客户
48477,一般客户
54532,一般客户
25574,低价值客户
15182,低价值客户
24519,低价值客户
30077,重要挽留客户
47584,重要挽留客户
46520,低价值客户
49912,低价值客户
575,一般客户
23789,低价值客户
27515,一般客户
53808,重要挽留客户
57151,重要挽留客户
5262,低价值客户
30347,一般客户
3622,重要挽留客户
45509,低价值客户
23244,一般客户
44698,重要挽留客户
24545,一般客户
53098,一般客户
57754,重要挽留客户
22920,重要发展客户
6709,低价值客户
19855,一般客户
61491,低价值客户
39083,重要挽留客户
13962,低价值客户
20985,一般客户
37851,低价值客户
53551,重要挽留客户
49113,低价值客户
2469,重要挽留客户
47225,重要挽留客户
38458,重要挽留客户
2387,重要挽留客户
35934,重要挽留客户
32840,一般客户
51220,低价值客户
24541,低价值客户
18980,重要发展客户
47655,重要挽留客户
53592,重要挽留客户
52520,低价值客户
37899,低价值客户
58481,低价值客户
12317,一般客户
55051,重要发展客户
22313,一般客户
14698,一般客户
16543,低价值客户
3830,重要挽留客户
27132,重要发展客户
20064,低价值客户
13868,重要保持客户
15748,低价值客户
55920,低价值客户
18878,重要挽留客户
9065,一般客户
36127,低价值客户
49048,重要发展客户
9184,低价值客户
35138,一般客户
49959,低价值客户
17425,一般客户
18383,低价值客户
61926,低价值客户
21443,一般客户
18695,重要挽留客户
17567,一般客户
51283,低价值客户
4635,低价值客户
37854,低价值客户
23463,低价值客户
54053,重要挽留客户
27497,一般客户
45255,重要保持客户
29416,一般客户
14591,重要保持客户
11895,重要发展客户
35828,重要挽留客户
32165,低价值客户
7953,一般客户
57144,重要挽留客户
29986,一般客户
57172,一般客户
9999,重要挽留客户
29688,重要发展客户
32273,低价值客户
8193,一般客户
44223,低价值客户
49457,重要发展客户
29466,重要挽留客户
55390,重要挽留客户
36232,低价值客户
45110,一般客户
34234,低价值客户
4273,一般客户
61852,低价值客户
52239,低价值客户
35907,重要挽留客户
33604,一般客户
52533,低价值客户
17279,一般客户
3089,重要发展客户
40429,低价值客户
62223,低价值客户
19694,重要保持客户
36987,重要挽留客户
43005,低价值客户
22878,低价值客户
57021,一般客户
34148,低价值客户
23997,低价值客户
35539,重要保持客户
19681,重要挽留客户
17380,低价值客户
17292,重要挽留客户
58257,重要挽留客户
32000,重要保持客户
23641,低价值客户
18198,一般客户
10054,一般客户
36516,低价值客户
17588,低价值客户
45134,一般客户
9628,重要挽留客户
2318,重要挽留客户
1448,低价值客户
11707,一般客户
1940,一般客户
56680,重要挽留客户
33939,一般客户
30274,重要挽留客户
41054,低价值客户
692,重要挽留客户
1803,低价值客户
57088,重要挽留客户
22839,低价值客户
47009,重要发展客户
39755,重要挽留客户
1369,低价值客户
16890,重要保持客户
52326,一般客户
27559,低价值客户
59271,低价值客户
43891,一般客户
22189,重要发展客户
47613,重要挽留客户
25002,低价值客户
35567,重要挽留客户
49760,重要发展客户
58749,低价值客户
15893,低价值客户
28988,低价值客户
18142,重要挽留客户
16073,低价值客户
1390,重要发展客户
42887,低价值客户
46223,重要挽留客户
8925,重要保持客户
6678,低价值客户
44620,重要发展客户
56828,重要挽留客户
48463,重要挽留客户
17438,低价值客户
56112,重要挽留客户
12029,重要挽留客户
3316,重要挽留客户
32972,低价值客户
25927,重要发展客户
33134,低价值客户
5223,低价值客户
2273,重要挽留客户
45887,重要挽留客户
23791,一般客户
54188,一般客户
47178,重要挽留客户
25200,一般客户
2580,重要挽留客户
30586,一般客户
59156,一般客户
39182,重要保持客户
14365,重要发展客户
4959,低价值客户
50666,一般客户
38830,重要保持客户
47274,重要发展客户
8931,重要保持客户
3467,低价值客户
57740,重要挽留客户
25697,一般客户
61318,低价值客户
17159,低价值客户
44440,低价值客户
29970,重要挽留客户
18361,低价值客户
10681,低价值客户
30773,重要保持客户
43807,低价值客户
57338,重要挽留客户
50382,重要保持客户
1294,重要保持客户
61890,一般客户
20346,重要挽留客户
59834,一般客户
41013,一般客户
24530,低价值客户
38736,重要挽留客户
36397,一般客户
33369,低价值客户
40585,低价值客户
37105,重要挽留客户
54973,重要挽留客户
50672,低价值客户
37011,重要挽留客户
17391,重要保持客户
2934,重要挽留客户
15820,低价值客户
10426,一般客户
2590,重要挽留客户
3175,重要挽留客户
2713,重要挽留客户
39655,重要挽留客户
9618,重要挽留客户
14026,一般客户
43393,低价值客户
36060,一般客户
45132,低价值客户
27678,重要保持客户
54049,重要挽留客户
23634,一般客户
52565,低价值客户
4069,重要挽留客户
53132,低价值客户
50910,低价值客户
60561,一般客户
25396,低价值客户
48610,重要挽留客户
38209,重要保持客户
17777,重要挽留客户
56516,重要挽留客户
33677,一般客户
45823,重要保持客户
37666,低价值客户
21408,重要挽留客户
33648,低价值客户
1712,低价值客户
4342,一般客户
15297,低价值客户
51886,重要发展客户
34285,重要发展客户
34126,一般客户
5556,一般客户
9291,一般客户
38956,重要发展客户
49,低价值客户
10333,一般客户
33344,低价值客户
7364,低价值客户
57913,重要保持客户
11075,重要挽留客户
50558,重要发展客户
40743,重要发展客户
54660,重要发展客户
33225,低价值客户
35367,一般客户
62322,低价值客户
28951,低价值客户
39513,重要发展客户
15422,一般客户
57211,重要保持客户
49283,一般客户
53260,一般客户
36800,重要挽留客户
50462,低价值客户
32943,低价值客户
55829,低价值客户
29298,一般客户
38619,重要保持客户
44063,低价值客户
1386,低价值客户
25928,低价值客户
13607,一般客户
46117,重要挽留客户
48668,重要挽留客户
52164,低价值客户
1968,低价值客户
60486,重要发展客户
10965,重要挽留客户
22274,一般客户
38261,重要挽留客户
42289,低价值客户
55805,一般客户
17049,低价值客户
13875,低价值客户
46448,重要保持客户
37062,重要挽留客户
9402,一般客户
57175,重要挽留客户
61229,重要发展客户
3277,重要挽留客户
59073,重要发展客户
60266,低价值客户
61561,重要挽留客户
54143,低价值客户
12529,重要挽留客户
10883,重要发展客户
50263,一般客户
9892,重要挽留客户
32047,低价值客户
51342,低价值客户
19771,低价值客户
34456,低价值客户
49631,一般客户
5508,低价值客户
61203,一般客户
60888,重要发展客户
9998,一般客户
3922,一般客户
12619,重要挽留客户
12302,一般客户
36297,一般客户
46094,重要挽留客户
51225,一般客户
8816,重要挽留客户
18250,低价值客户
14918,低价值客户
37551,一般客户
15188,一般客户
10389,低价值客户
27623,重要挽留客户
22139,重要保持客户
41359,低价值客户
56796,重要挽留客户
4140,一般客户
20103,低价值客户
28513,低价值客户
47601,重要挽留客户
27137,低价值客户
61459,一般客户
3148,重要挽留客户
61614,重要发展客户
32757,低价值客户
48638,重要挽留客户
17303,一般客户
29899,重要挽留客户
19773,低价值客户
13482,低价值客户
38704,重要保持客户
58886,低价值客户
25975,低价值客户
6834,一般客户
32827,低价值客户
7524,重要保持客户
61486,低价值客户
16246,低价值客户
15162,重要发展客户
47318,重要挽留客户
21223,一般客户
4924,低价值客户
16032,一般客户
10137,重要发展客户
62683,重要保持客户
460,一般客户
44535,重要挽留客户
31065,重要发展客户
46265,重要挽留客户
59863,一般客户
17546,低价值客户
49779,重要保持客户
52906,一般客户
21174,重要挽留客户
48325,重要挽留客户
23838,低价值客户
54807,重要挽留客户
29620,重要挽留客户
679,重要挽留客户
27338,一般客户
25509,重要发展客户
30808,低价值客户
5295,一般客户
59646,一般客户
42085,一般客户
12909,重要挽留客户
41036,低价值客户
57179,一般客户
48697,一般客户
37555,低价值客户
61709,低价值客户
44710,重要挽留客户
42054,低价值客户
48586,重要挽留客户
23464,低价值客户
35953,重要挽留客户
8226,一般客户
25109,一般客户
33085,一般客户
60701,低价值客户
42886,低价值客户
55142,重要保持客户
46521,一般客户
51079,重要保持客户
48084,重要发展客户
49064,重要保持客户
34933,一般客户
16362,低价值客户
50948,低价值客户
12072,重要挽留客户
20830,重要挽留客户
8992,低价值客户
17928,重要保持客户
23839,低价值客户
17322,重要发展客户
55212,重要挽留客户
3897,低价值客户
2959,重要发展客户
16720,重要保持客户
52542,低价值客户
25053,低价值客户
12140,重要挽留客户
1455,重要保持客户
45616,重要挽留客户
20341,重要保持客户
52069,低价值客户
48506,重要挽留客户
54494,低价值客户
23333,一般客户
10810,一般客户
29490,重要挽留客户
26231,一般客户
57875,一般客户
21299,重要挽留客户
14679,一般客户
59809,低价值客户
61455,一般客户
48588,低价值客户
12452,重要发展客户
42519,一般客户
23852,低价值客户
5296,低价值客户
39607,重要挽留客户
51131,重要发展客户
13427,低价值客户
56770,一般客户
41901,重要发展客户
44325,低价值客户
45063,重要发展客户
8546,重要挽留客户
28224,重要挽留客户
45590,重要挽留客户
38281,重要挽留客户
56486,重要挽留客户
54896,重要挽留客户
8817,重要挽留客户
9520,重要保持客户
47970,重要挽留客户
52447,低价值客户
18382,低价值客户
45994,重要保持客户
55425,低价值客户
21603,重要保持客户
14834,重要发展客户
49876,低价值客户
43557,低价值客户
29739,重要保持客户
57095,重要挽留客户
16158,低价值客户
3456,一般客户
61765,低价值客户
33926,低价值客户
49329,低价值客户
48024,低价值客户
54677,一般客户
10751,低价值客户
17215,一般客户
39434,重要挽留客户
34347,重要发展客户
29319,重要挽留客户
4426,低价值客户
28049,重要挽留客户
20657,重要挽留客户
2665,重要挽留客户
36222,低价值客户
12550,一般客户
45307,重要发展客户
22064,重要挽留客户
4110,重要挽留客户
55173,重要保持客户
17729,一般客户
57100,一般客户
1262,重要挽留客户
59012,低价值客户
39019,重要挽留客户
16926,低价值客户
37611,重要发展客户
25230,一般客户
30540,重要挽留客户
39735,重要挽留客户
38111,重要挽留客户
25212,低价值客户
30697,重要挽留客户
4422,低价值客户
2737,重要保持客户
3703,重要挽留客户
18903,重要挽留客户
52392,重要发展客户
34612,一般客户
60790,一般客户
56493,重要保持客户
17722,重要挽留客户
7626,重要发展客户
33190,低价值客户
2220,重要挽留客户
60404,一般客户
30482,一般客户
32274,一般客户
33732,一般客户
34757,低价值客户
6695,低价值客户
59794,一般客户
5942,一般客户
62218,低价值客户
33169,一般客户
14373,低价值客户
6430,一般客户
10621,低价值客户
21452,重要挽留客户
28197,重要挽留客户
11286,重要挽留客户
41425,重要保持客户
22691,低价值客户
32305,重要保持客户
8660,重要挽留客户
17459,低价值客户
52260,低价值客户
53834,重要保持客户
20284,重要保持客户
1575,低价值客户
28315,重要挽留客户
11609,重要挽留客户
35060,低价值客户
16475,一般客户
48400,重要发展客户
15435,低价值客户
27149,重要发展客户
37848,低价值客户
8139,低价值客户
7334,低价值客户
29362,重要发展客户
6482,一般客户
10993,重要保持客户
60808,重要发展客户
39402,重要挽留客户
15962,低价值客户
1409,一般客户
34844,低价值客户
59270,低价值客户
702,重要挽留客户
9873,一般客户
62784,重要挽留客户
50803,低价值客户
18711,重要挽留客户
985,重要挽留客户
34637,低价值客户
62022,一般客户
42423,低价值客户
58922,低价值客户
26461,低价值客户
17538,低价值客户
62089,重要挽留客户
414,低价值客户
32162,低价值客户
28735,低价值客户
29638,一般客户
4386,低价值客户
17263,低价值客户
12262,重要保持客户
8539,重要挽留客户
41441,低价值客户
13753,低价值客户
15087,重要保持客户
6868,一般客户
26393,一般客户
50117,一般客户
9360,一般客户
48232,重要保持客户
16972,低价值客户
36979,重要挽留客户
54153,低价值客户
57487,重要挽留客户
12602,重要挽留客户
27261,低价值客户
45552,重要挽留客户
31698,低价值客户
45584,一般客户
10691,低价值客户
36534,重要挽留客户
45048,一般客户
18977,重要保持客户
14762,低价值客户
44967,重要挽留客户
13362,低价值客户
32296,低价值客户
35135,一般客户
41212,低价值客户
22226,一般客户
23723,重要发展客户
48949,重要挽留客户
32614,一般客户
27222,低价值客户
60833,低价值客户
14628,一般客户
47957,重要挽留客户
5654,低价值客户
10862,低价值客户
9078,低价值客户
48950,重要发展客户
31031,低价值客户
55179,重要发展客户
4753,低价值客户
49116,重要发展客户
58183,低价值客户
42258,重要保持客户
51069,低价值客户
53365,重要保持客户
55800,低价值客户
43570,低价值客户
60438,低价值客户
54061,重要发展客户
33253,低价值客户
16215,一般客户
19945,低价值客户
44584,重要挽留客户
12784,重要挽留客户
19436,重要挽留客户
37118,重要挽留客户
15024,一般客户
52218,一般客户
9270,一般客户
40173,重要发展客户
26562,重要挽留客户
54870,重要挽留客户
27233,低价值客户
59895,低价值客户
24675,低价值客户
45045,重要发展客户
62744,一般客户
16196,重要保持客户
38834,重要挽留客户
4269,低价值客户
25269,低价值客户
5238,低价值客户
52145,低价值客户
30227,低价值客户
2797,一般客户
25196,一般客户
42452,低价值客户
35467,重要挽留客户
5291,一般客户
15459,一般客户
35582,重要保持客户
21044,一般客户
49334,一般客户
60756,重要发展客户
41773,一般客户
51831,低价值客户
34702,一般客户
41648,低价值客户
12622,重要挽留客户
8811,一般客户
20295,重要保持客户
48293,重要挽留客户
11143,重要挽留客户
14455,低价值客户
20916,一般客户
14068,低价值客户
30399,重要发展客户
52144,低价值客户
38546,重要发展客户
10529,低价值客户
5414,低价值客户
58591,低价值客户
59881,低价值客户
33548,低价值客户
11728,重要挽留客户
20477,重要挽留客户
20024,低价值客户
35108,重要发展客户
48997,重要挽留客户
4638,重要发展客户
12759,一般客户
54672,重要保持客户
59739,低价值客户
19278,重要挽留客户
23200,一般客户
62094,低价值客户
56544,重要挽留客户
43769,低价值客户
2431,低价值客户
17959,重要挽留客户
27018,重要挽留客户
49103,重要保持客户
30437,重要挽留客户
22543,一般客户
47487,重要保持客户
3485,一般客户
31072,一般客户
43092,低价值客户
22080,重要挽留客户
41458,低价值客户
4685,低价值客户
12514,一般客户
60254,一般客户
38919,一般客户
49136,重要挽留客户
9306,一般客户
24213,低价值客户
39362,重要挽留客户
29543,重要挽留客户
27628,重要挽留客户
40079,重要挽留客户
21451,重要挽留客户
53020,一般客户
40058,低价值客户
51719,低价值客户
2252,重要挽留客户
29470,重要挽留客户
56021,低价值客户
50520,一般客户
39527,重要挽留客户
54471,低价值客户
51325,一般客户
57609,重要挽留客户
42363,重要保持客户
61360,低价值客户
53582,重要挽留客户
50123,低价值客户
15037,重要发展客户
37150,一般客户
58819,低价值客户
35916,重要挽留客户
34250,一般客户
1960,低价值客户
21517,低价值客户
49284,低价值客户
44329,重要发展客户
34789,一般客户
7605,低价值客户
8508,重要挽留客户
56502,重要保持客户
42408,一般客户
9186,低价值客户
3106,重要挽留客户
49221,重要保持客户
45547,一般客户
48963,重要发展客户
15100,低价值客户
4255,重要保持客户
21975,重要挽留客户
2857,重要挽留客户
24963,一般客户
20574,一般客户
56323,重要挽留客户
56301,重要挽留客户
14655,一般客户
62500,重要保持客户
51247,重要保持客户
54414,低价值客户
45839,重要挽留客户
41668,低价值客户
18868,重要挽留客户
44920,重要挽留客户
5282,一般客户
45954,重要发展客户
57477,一般客户
12652,一般客户
43936,一般客户
62811,重要挽留客户
6797,低价值客户
33927,一般客户
43780,重要挽留客户
15359,低价值客户
808,重要保持客户
61185,低价值客户
38551,重要保持客户
37209,重要挽留客户
53325,低价值客户
56473,重要保持客户
33821,低价值客户
36491,低价值客户
2063,重要挽留客户
6181,重要发展客户
41853,低价值客户
48552,重要发展客户
28835,一般客户
21867,重要挽留客户
56092,重要挽留客户
51393,一般客户
11347,重要挽留客户
43881,一般客户
13229,一般客户
18073,重要挽留客户
41405,低价值客户
55758,低价值客户
263,低价值客户
62941,重要挽留客户
41020,低价值客户
51082,一般客户
38423,重要保持客户
38063,重要挽留客户
49737,重要保持客户
9125,一般客户
50299,一般客户
27406,低价值客户
